Q1_AgeRaw,Q3_Education,Q5_IncomeTier_Imputed,Q7_YearsDubai,Q2_Gender_Label,Q4_Employment_Label,Q6_Nationality_Label,Q2_Gender_1,Q2_Gender_2,Q2_Gender_3,Q2_Gender_4,Q4_Employment_1,Q4_Employment_2,Q4_Employment_3,Q4_Employment_4,Q4_Employment_5,Q6_Nationality_1,Q6_Nationality_2,Q6_Nationality_3,Q6_Nationality_4,Q6_Nationality_5,Q6_Nationality_6,Q6_Nationality_7,Q9_ReviewFrequency,Q10_NumCurrencies,Q12_SavingsPct,Q8_Spreadsheet,Q8_MobileBanking,Q8_DedicatedApp,Q8_Paper,Q8_NoTracking,Q11_Remittance,Q11_FX,Q11_Ecommerce,Q11_Investment,Q11_BillSplit,Q11_Subscriptions,Q13_DiffTrackMultiCurrency,Q13_LoseFXMoney,Q13_SavingsHabit,Q13_MultiBankTimeConsuming,Q13_DissatisifiedTools,Q13_UnexpectedExpenses,Q13_HealthUnderstanding,Q13_Overspent,Q14_BiggestChallenge,Q15_MoneyLost,Q16_AIExpenseCategorisation,Q16_MultiCurrencyTracking,Q16_SavingsGoals,Q16_RemittanceBestRate,Q16_InvestmentTracking,Q16_HealthDashboard,Q18_UAEBankIntegration,Q18_RemittancePlatform,Q19_PrivacyConcern,Q17_InterfacePref_Label,Q17_InterfacePref_1,Q17_InterfacePref_2,Q17_InterfacePref_3,Q17_InterfacePref_4,Q17_InterfacePref_5,Q26_HelpSaveMoney,Q26_AIBetterInsights,Q26_ComfortableAutocat,Q26_WouldRecommend,Q26_LikelySwitch,Q26_TrustRegulatory,Q24_DownloadLikelihood,Q31_ConfidenceAI,Q27_CurrentSatisfaction,Derived_PainComposite,Derived_TechAffinity,Derived_AdoptionAttitude,Eng_PainGap,Eng_DigitalEngagement,Eng_ActivityBreadth,Eng_AdoptionReadiness,Flag_ValueSeeker,Flag_MultiCurrencyUser,Q20_WTP_Binary
43,3,3,4,Female,Government,Emirati,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,4,2,0,0,0,0,0,1,1,1,0,1,1,1,1,3,2,1,3,2,2,3,3,3,4,4,4,4,5,5,4,3,MobileOnly,1,0,0,0,0,3,4,2,5,3,4,8,1,6,2.0,1.0,3.5,3.0,5.0,5,0.66,0,1,0
47,3,5,2,Male,Freelancer,Western,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,4,1,0,1,1,0,1,0,0,1,1,1,0,3,3,2,4,2,4,3,4,6,5,5,3,3,4,5,4,5,3,1,WhatsApp,0,0,0,1,0,3,4,5,3,5,4,7,4,3,3.12,5.0,4.0,5.64,9.0,3,0.69,0,1,1
39,2,3,4,Male,PrivateSector,SouthAsian,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,4,2,1,1,0,0,0,0,0,0,1,0,0,1,3,3,1,2,3,4,2,4,2,5,3,3,5,4,3,5,5,4,4,MobileOnly,1,0,0,0,0,4,3,3,4,3,4,4,2,4,2.75,1.0,3.5,4.7,3.0,2,0.475,0,0,1
42,2,2,5,Female,PrivateSector,African,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,5,3,1,0,0,0,0,0,0,0,0,0,0,0,4,2,5,3,3,5,3,5,3,4,3,5,4,5,2,4,4,4,1,MobileOnly,1,0,0,0,0,4,4,4,3,4,4,5,4,1,3.75,1.0,3.83,7.3,3.0,0,0.5781,1,0,1
34,5,3,4,Female,PrivateSector,ArabExpat,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,3,1,1,1,1,0,0,1,1,1,0,1,0,2,3,3,2,3,3,4,4,4,4,4,5,3,3,2,3,4,4,2,WhatsApp,0,0,0,1,0,5,3,5,5,5,3,6,6,6,3.0,6.0,4.33,4.8,8.0,4,0.6931,0,0,0
28,3,4,2,Female,PrivateSector,SouthAsian,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,2,1,1,0,1,0,1,1,0,1,1,0,1,3,1,4,1,3,5,3,3,2,4,5,3,5,3,2,3,5,4,3,MobileOnly,1,0,0,0,0,4,5,3,4,4,4,4,7,4,2.88,3.0,4.0,4.96,8.0,4,0.585,0,0,1
31,3,3,1,Female,Freelancer,ArabExpat,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,4,1,0,1,1,0,0,1,1,1,0,0,1,3,1,4,1,1,3,3,3,3,3,5,3,3,3,4,3,4,3,1,NoPreference,0,0,0,0,1,5,5,4,4,3,4,7,5,6,2.38,6.0,4.17,3.56,9.0,4,0.7169,0,1,1
45,4,3,5,Female,PrivateSector,SouthAsian,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,4,2,1,1,0,0,0,1,0,1,1,0,1,3,3,3,3,2,3,3,3,6,5,4,5,4,4,5,3,4,4,2,MobileOnly,1,0,0,0,0,4,5,4,4,3,3,6,1,1,2.88,3.0,3.83,5.56,9.0,4,0.5831,0,1,1
41,5,5,5,Male,BusinessOwner,ArabExpat,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3,3,1,1,0,0,0,1,0,0,0,1,1,1,4,4,2,5,4,5,5,5,7,6,4,3,4,5,3,5,4,4,1,WhatsApp,0,0,0,1,0,4,3,4,3,4,5,3,2,1,4.25,0.0,3.83,8.3,6.0,3,0.4481,0,0,0
35,2,3,4,Female,Government,SouthAsian,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3,2,1,0,0,0,0,0,1,0,0,0,0,1,3,3,3,5,2,3,2,3,4,3,4,3,5,5,3,4,5,5,2,NoPreference,0,0,0,0,1,4,5,3,4,5,3,7,5,3,3.0,1.0,4.0,5.4,3.0,2,0.705,0,0,0
36,3,3,2,Male,Government,Other,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,3,1,0,0,0,0,0,1,0,0,0,0,1,4,3,3,4,5,4,2,4,4,3,5,4,3,4,3,4,4,4,2,Both,0,0,1,0,0,4,3,3,5,4,4,8,6,5,3.62,1.0,3.83,6.24,4.0,2,0.7581,1,0,1
38,4,3,3,Male,Freelancer,SouthAsian,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,4,4,1,1,1,1,0,0,1,1,1,0,0,1,3,4,3,2,3,5,3,5,2,4,4,3,3,4,5,4,4,4,2,WebOnly,0,1,0,0,0,1,3,3,5,2,4,4,3,5,3.5,6.0,3.0,6.0,9.0,4,0.455,0,1,0
41,3,3,4,Female,PrivateSector,SouthAsian,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,3,1,0,1,0,0,0,1,0,1,1,0,0,2,2,2,1,3,3,2,3,3,3,5,3,4,5,3,5,5,2,2,MobileOnly,1,0,0,0,0,2,5,3,4,3,3,6,3,6,2.25,3.0,3.33,3.3,7.0,3,0.5781,0,0,1
32,2,3,2,Male,PrivateSector,EastAsian,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,3,1,1,1,1,0,0,0,0,0,0,0,0,3,2,3,4,3,4,4,4,5,3,5,3,3,5,1,3,4,4,2,Both,0,0,1,0,0,4,4,3,5,3,2,8,4,4,3.38,6.0,3.5,5.96,8.0,0,0.705,0,0,1
38,3,2,5,Male,Freelancer,SouthAsian,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,3,3,0,1,0,0,0,1,0,1,0,1,0,1,3,4,2,2,3,3,4,1,3,4,5,3,4,3,5,5,2,2,MobileOnly,1,0,0,0,0,4,5,3,4,4,4,6,5,5,2.75,3.0,4.0,4.5,5.0,3,0.655,0,0,1
28,2,5,2,Female,PrivateSector,EastAsian,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,4,2,1,0,1,1,0,0,1,1,0,0,1,0,3,3,4,2,2,5,2,4,2,5,4,4,4,3,4,5,3,3,2,Both,0,0,1,0,0,3,4,4,4,5,4,7,7,3,3.12,6.0,4.0,5.64,7.0,3,0.735,0,0,0
45,4,3,5,Male,Government,SouthAsian,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3,3,2,0,0,0,1,0,0,0,0,1,1,0,1,3,3,2,3,4,3,5,2,3,3,3,5,5,5,4,5,4,2,WebOnly,0,1,0,0,0,4,4,2,4,2,4,6,5,3,3.0,1.0,3.33,5.4,5.0,2,0.6081,0,0,0
32,3,3,3,Male,PrivateSector,EastAsian,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,4,2,2,0,1,0,1,0,1,0,1,0,0,0,4,5,5,3,5,5,2,5,1,6,4,5,5,5,3,3,3,5,3,WhatsApp,0,0,0,1,0,5,5,3,4,4,4,5,4,3,4.25,3.0,4.17,7.9,4.0,2,0.6019,0,0,0
43,3,5,5,Male,BusinessOwner,SouthAsian,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,4,2,1,0,0,0,0,1,1,1,1,0,1,2,2,3,3,2,4,1,3,4,4,4,5,3,3,4,4,4,4,2,Both,0,0,1,0,0,4,3,3,4,4,5,6,4,6,2.5,1.0,3.83,3.8,7.0,5,0.6281,0,1,0
