Respondent_ID,Persona_Cluster,Q1_AgeRaw,Q3_Education,Q5_IncomeTier_Imputed,Q7_YearsDubai,Q10_NumCurrencies,Q12_SavingsPct,Q9_ReviewFrequency,Q8_MobileBanking,Q8_DedicatedApp,Q8_Spreadsheet,Q11_Remittance,Q11_FX,Q11_Investment,Q11_Subscriptions,Q13_DiffTrackMultiCurrency,Q13_LoseFXMoney,Q13_SavingsHabit,Q13_MultiBankTimeConsuming,Q13_DissatisifiedTools,Q13_HealthUnderstanding,Q16_AIExpenseCategorisation,Q16_MultiCurrencyTracking,Q16_SavingsGoals,Q16_RemittanceBestRate,Q16_InvestmentTracking,Q19_PrivacyConcern,Q24_DownloadLikelihood,Q26_HelpSaveMoney,Q26_AIBetterInsights,Q26_WouldRecommend,Q27_CurrentSatisfaction,Q31_ConfidenceAI,Q29_NPS,Q20_WTP_Intent,Q21_WTP_AED,Q22_PricingModel,Derived_PainComposite,Derived_TechAffinity,Derived_AdoptionAttitude,Derived_FinancialStress,Eng_PainGap,Eng_DigitalEngagement,Eng_ActivityBreadth,Eng_AdoptionReadiness,KMeans_Label,Cluster_Name
R0001,Senior Finance Pro,43,3,3,4,4,2,1,0,0,0,1,1,0,1,1,1,3,2,1,2,3,4,4,4,4,3,8,3,4,5,6,1,8,4,80,3,2.0,1.0,3.5,3.24,3.0,5.0,5,0.66,1,High-Value Nomads
R0002,High-Earning Nomad,47,3,5,2,4,1,2,1,1,0,0,0,1,0,3,3,2,4,2,3,5,3,3,4,5,1,7,3,4,3,3,4,7,2,80,2,3.12,5.0,4.0,4.16,5.64,9.0,3,0.69,2,High-Value Nomads
R0003,Cautious Saver,39,2,3,4,2,1,4,0,0,1,0,0,0,1,3,3,1,2,3,2,3,3,5,4,3,4,4,4,3,4,4,2,4,1,30,3,2.75,1.0,3.5,3.58,4.7,3.0,2,0.475,4,Finance Professionals
R0004,Struggling Expat,42,2,2,5,3,1,5,0,0,0,0,0,0,0,4,2,5,3,3,3,3,5,4,5,2,1,5,4,4,3,1,4,4,2,30,2,3.75,1.0,3.83,4.28,7.3,3.0,0,0.5781,3,Budget-Conscious Expats
R0005,Tech-Savvy Millennial,34,5,3,4,3,1,1,1,1,1,1,1,0,0,2,3,3,2,3,4,4,5,3,3,2,2,6,5,3,5,6,6,6,3,80,3,3.0,6.0,4.33,3.9,4.8,8.0,4,0.6931,0,Digital-First Millennials
R0006,Tech-Savvy Millennial,28,3,4,2,2,1,1,0,1,1,1,0,1,1,3,1,4,1,3,3,5,3,5,3,2,3,4,4,5,4,4,7,7,2,50,2,2.88,3.0,4.0,3.64,4.96,8.0,4,0.585,0,Digital-First Millennials
R0007,Tech-Savvy Millennial,31,3,3,1,4,1,2,1,1,0,1,1,0,1,3,1,4,1,1,3,5,3,3,3,4,1,7,5,5,4,6,5,7,2,80,1,2.38,6.0,4.17,3.79,3.56,9.0,4,0.7169,0,Digital-First Millennials
R0008,High-Earning Nomad,45,4,3,5,4,2,3,1,0,1,1,0,1,1,3,3,3,3,2,3,4,5,4,4,5,2,6,4,5,4,1,1,7,2,50,3,2.88,3.0,3.83,3.74,5.56,9.0,4,0.5831,2,High-Value Nomads
R0009,Struggling Expat,41,5,5,5,3,1,3,0,0,1,0,0,1,1,4,4,2,5,4,5,4,3,4,5,3,1,3,4,3,3,1,2,7,5,0,4,4.25,0.0,3.83,4.53,8.3,6.0,3,0.4481,3,Budget-Conscious Expats
R0010,Cautious Saver,35,2,3,4,2,1,3,0,0,0,1,0,0,1,3,3,3,5,2,2,4,3,5,5,3,2,7,4,5,4,3,5,7,4,30,4,3.0,1.0,4.0,3.7,5.4,3.0,2,0.705,4,Finance Professionals
