Respondent_ID,Persona_Cluster,Q1_AgeGroup,Q1_AgeRaw,Q2_Gender,Q3_Education,Q4_Employment,Q5_IncomeTier,Q6_Nationality,Q7_YearsDubai,Q8_Spreadsheet,Q8_MobileBanking,Q8_DedicatedApp,Q8_Paper,Q8_NoTracking,Q8_Other,Q9_ReviewFrequency,Q10_NumCurrencies,Q11_Remittance,Q11_FX,Q11_Ecommerce,Q11_Investment,Q11_BillSplit,Q11_Subscriptions,Q11_None,Q12_SavingsPct,Q13_DiffTrackMultiCurrency,Q13_LoseFXMoney,Q13_SavingsHabit,Q13_MultiBankTimeConsuming,Q13_DissatisifiedTools,Q13_UnexpectedExpenses,Q13_HealthUnderstanding,Q13_Overspent,Q14_BiggestChallenge,Q15_MoneyLost,Q16_AIExpenseCategorisation,Q16_MultiCurrencyTracking,Q16_SavingsGoals,Q16_RemittanceBestRate,Q16_InvestmentTracking,Q16_SubscriptionAlerts,Q16_CreditScore,Q16_HealthDashboard,Q16_ChatbotQueries,Q16_GamifiedSavings,Q17_InterfacePref,Q18_UAEBankIntegration,Q18_RemittancePlatform,Q18_CryptoWallet,Q18_WPSSalary,Q18_InvestmentPlatform,Q18_EcommTracking,Q19_PrivacyConcern,Q20_WTP_Intent,Q20_WTP_Binary,Q21_WTP_Tier,Q21_WTP_AED,Q22_PricingModel,Q23_Incentive,Q24_DownloadLikelihood,Q25_Privacy,Q25_Cost,Q25_Complexity,Q25_BankIntegration,Q25_AITrust,Q25_NoNeed,Q25_Regulatory,Q25_Other,Q26_HelpSaveMoney,Q26_AIBetterInsights,Q26_ComfortableAutocat,Q26_WouldRecommend,Q26_LikelySwitch,Q26_TrustRegulatory,Q27_CurrentSatisfaction,Q28_FWImportance,Q29_NPS,Q29_NPS_Category,Q30_EaseOfUse,Q30_AIAccuracy,Q30_RealtimeFX,Q30_CustomerSupport,Q30_DataSecurity,Q30_PersonalisedInsights,Q30_BankIntegration,Q30_Offline,Q31_ConfidenceAI,Derived_PainComposite,Derived_FeatureDesirability,Derived_AdoptionAttitude,Derived_FinancialStress,Derived_TechAffinity,Flag_FlatlineResponder,Flag_OutlierAny,Q1_AgeGroup_Label,Q2_Gender_Label,Q3_Education_Label,Q4_Employment_Label,Q5_IncomeTier_Label,Q6_Nationality_Label,Q7_YearsDubai_Label,Q9_ReviewFrequency_Label,Q10_NumCurrencies_Label,Q12_SavingsPct_Label,Q14_BiggestChallenge_Label,Q15_MoneyLost_Label,Q17_InterfacePref_Label,Q19_PrivacyConcern_Label,Q20_WTP_Intent_Label,Q21_WTP_Tier_Label,Q22_PricingModel_Label,Q23_Incentive_Label,Q29_NPS_Category_Enc,Persona_Cluster_Enc,Q5_IncomeTier_Imputed,Eng_PainGap,Eng_DigitalEngagement,Eng_ActivityBreadth,Eng_AdoptionReadiness,Flag_ValueSeeker,Eng_WTPperPain,Flag_AgeIncomeAtypical,Flag_MultiCurrencyUser
R0001,Senior Finance Pro,3,43,2,3,2,6,1,4,0,0,0,0,0,0,1,4,1,1,1,0,1,1,0,2,1,1,3,2,1,3,2,2,3,3,3,4,4,4,4,4,4,5,3,2,1,5,4,3,4,5,3,3,4,0,5,80,3,4,8,1,1,0,0,1,0,1,0,3,4,2,5,3,4,6,8,8,Passive,5,5,4,4,4,5,4,4,1,2.0,3.7,3.5,3.24,1.0,0,0,35-44,Female,MastersMBA,Government,PNS,Emirati,5-10yrs,Daily,FourCurr,1-10pct,HighFees,AED101-300,MobileOnly,ModeratelyConcerned,FreeOnly,AED61-100,MonthlySubscription,AIFinancialAdvice,1,2,3,3.0,5.0,5,0.66,0,40.0,0,1
R0002,High-Earning Nomad,4,47,1,3,3,5,4,2,0,1,1,0,1,0,2,4,0,0,1,1,1,0,0,1,3,3,2,4,2,4,3,4,6,5,5,3,3,4,5,5,5,4,4,4,4,5,3,4,1,5,5,1,2,1,5,80,2,5,7,0,1,0,0,0,0,0,0,3,4,5,3,5,4,3,8,7,Passive,5,5,4,4,4,5,4,5,4,3.12,4.2,4.0,4.16,5.0,0,0,45-54,Male,MastersMBA,Freelancer,Above40k,Western,1-3yrs,Weekly,FourCurr,NoSavings,InvestmentInfo,AED601-1000,WhatsApp,NotConcerned,YesIfJustified,AED61-100,Freemium,ReferralDiscounts,1,3,5,5.64,9.0,3,0.69,0,25.64,0,1
R0003,Cautious Saver,3,39,1,2,1,3,2,4,1,0,0,0,0,0,4,2,0,0,1,0,0,1,0,1,3,3,1,2,3,4,2,4,2,5,3,3,5,4,3,4,3,5,2,5,1,5,4,3,4,3,4,4,1,1,3,30,3,3,4,1,0,1,0,0,0,0,0,4,3,3,4,3,4,4,7,4,Detractor,5,4,4,4,5,5,4,4,2,2.75,3.7,3.5,3.58,1.0,0,0,35-44,Male,Bachelors,PrivateSector,10k-20k,SouthAsian,5-10yrs,Quarterly,TwoCurr,NoSavings,NoConsolidatedView,AED601-1000,MobileOnly,VeryConcerned,YesDefinitely,AED21-40,MonthlySubscription,BankIntegration,0,1,3,4.7,3.0,2,0.475,0,10.91,0,0
R0004,Struggling Expat,3,42,2,2,1,2,6,5,0,0,0,0,0,0,5,3,0,0,0,0,0,0,1,1,4,2,5,3,3,5,3,5,3,4,3,5,4,5,2,2,3,4,3,4,1,4,4,2,4,2,4,1,2,1,3,30,2,4,5,0,0,0,0,0,0,0,0,4,4,4,3,4,4,1,7,4,Detractor,5,3,5,5,4,4,5,3,4,3.75,3.5,3.83,4.28,1.0,0,0,35-44,Female,Bachelors,PrivateSector,5k-10k,African,MoreThan10yrs,Rarely,ThreeCurr,NoSavings,HighFees,AED301-600,MobileOnly,NotConcerned,YesIfJustified,AED21-40,Freemium,AIFinancialAdvice,0,0,2,7.3,3.0,0,0.5781,1,8.0,0,0
R0005,Tech-Savvy Millennial,2,34,2,5,1,3,3,4,1,1,1,0,0,0,1,3,1,1,1,0,1,0,0,1,2,3,3,2,3,3,4,4,4,4,4,5,3,3,2,5,2,3,3,2,4,4,4,3,2,4,4,2,3,0,5,80,3,5,6,0,1,0,1,0,0,0,0,5,3,5,5,5,3,6,8,6,Detractor,5,5,4,4,4,5,4,3,6,3.0,3.3,4.33,3.9,6.0,0,1,25-34,Female,ProfQual,PrivateSector,10k-20k,ArabExpat,5-10yrs,Daily,ThreeCurr,NoSavings,EmergencyPlanning,AED301-600,WhatsApp,SlightlyConcerned,MaybeAfterTrial,AED61-100,MonthlySubscription,ReferralDiscounts,0,4,3,4.8,8.0,4,0.6931,0,26.67,0,0
R0006,Tech-Savvy Millennial,2,28,2,3,1,4,2,2,1,0,1,0,1,0,1,2,1,0,1,1,0,1,0,1,3,1,4,1,3,5,3,3,2,4,5,3,5,3,2,3,3,3,4,4,1,5,4,3,1,5,4,3,2,1,4,50,2,1,4,0,0,0,0,0,0,0,0,4,5,3,4,4,4,4,7,7,Passive,5,3,4,5,5,4,5,3,7,2.88,3.5,4.0,3.64,3.0,0,0,25-34,Female,MastersMBA,PrivateSector,20k-40k,SouthAsian,1-3yrs,Daily,TwoCurr,NoSavings,NoConsolidatedView,AED301-600,MobileOnly,ModeratelyConcerned,YesIfJustified,AED41-60,Freemium,FreeMonthTrial,1,4,4,4.96,8.0,4,0.585,0,17.36,0,0
R0007,Tech-Savvy Millennial,2,31,2,3,3,3,3,1,0,1,1,0,0,0,2,4,1,1,1,0,0,1,0,1,3,1,4,1,1,3,3,3,3,3,5,3,3,3,4,4,2,3,3,4,5,4,3,4,5,5,4,1,2,1,5,80,1,4,7,0,0,0,0,0,0,0,0,5,5,4,4,3,4,6,8,7,Passive,4,4,5,5,4,4,4,3,5,2.38,3.4,4.17,3.79,6.0,0,0,25-34,Female,MastersMBA,Freelancer,10k-20k,ArabExpat,LessThan1yr,Weekly,FourCurr,NoSavings,HighFees,AED101-300,NoPreference,NotConcerned,YesIfJustified,AED61-100,FreeWithAds,AIFinancialAdvice,1,4,3,3.56,9.0,4,0.7169,0,33.61,0,1
R0008,High-Earning Nomad,4,45,2,4,1,6,2,5,1,1,0,0,0,1,3,4,1,0,1,1,0,1,0,2,3,3,3,3,2,3,3,3,6,5,4,5,4,4,5,2,4,3,4,3,1,4,4,5,3,5,5,2,2,1,4,50,3,1,6,1,1,0,1,0,0,0,0,4,5,4,4,3,3,1,8,7,Passive,5,5,3,3,5,4,4,4,1,2.88,3.8,3.83,3.74,3.0,0,0,45-54,Female,Doctoral,PrivateSector,PNS,SouthAsian,MoreThan10yrs,Monthly,FourCurr,1-10pct,InvestmentInfo,AED601-1000,MobileOnly,SlightlyConcerned,YesIfJustified,AED41-60,MonthlySubscription,FreeMonthTrial,1,3,3,5.56,9.0,4,0.5831,0,17.36,0,1
R0009,Struggling Expat,3,41,1,5,4,5,3,5,1,0,0,0,1,0,3,3,0,0,0,1,1,1,0,1,4,4,2,5,4,5,5,5,7,6,4,3,4,5,3,4,3,5,3,2,4,4,4,3,4,2,4,1,5,0,1,0,4,5,3,0,0,0,1,0,1,0,0,4,3,4,3,4,5,1,7,7,Passive,5,4,4,4,4,5,4,5,2,4.25,3.6,3.83,4.53,0.0,0,0,35-44,Male,ProfQual,BusinessOwner,Above40k,ArabExpat,MoreThan10yrs,Monthly,ThreeCurr,NoSavings,NoChallenge,Above1000,WhatsApp,NotConcerned,WontUse,AED0,AnnualSubscription,ReferralDiscounts,1,0,5,8.3,6.0,3,0.4481,0,0.0,0,0
R0010,Cautious Saver,3,35,2,2,2,3,2,4,0,0,0,0,0,0,3,2,1,0,0,0,0,1,0,1,3,3,3,5,2,3,2,3,4,3,4,3,5,5,3,4,3,4,2,2,5,5,5,2,4,3,3,2,4,0,3,30,4,4,7,0,1,0,0,0,0,1,0,4,5,3,4,5,3,3,8,7,Passive,5,4,4,3,4,3,5,3,5,3.0,3.5,4.0,3.7,1.0,0,0,35-44,Female,Bachelors,Government,10k-20k,SouthAsian,5-10yrs,Monthly,TwoCurr,NoSavings,EmergencyPlanning,AED101-300,NoPreference,SlightlyConcerned,FreeOnly,AED21-40,AnnualSubscription,AIFinancialAdvice,1,1,3,5.4,3.0,2,0.705,0,10.0,0,0
