Q1_AgeRaw,Q3_Education,Q5_IncomeTier_Imputed,Q7_YearsDubai,Q2_Gender_Label,Q4_Employment_Label,Q6_Nationality_Label,Q22_PricingModel_Label,Q2_Gender_1,Q2_Gender_2,Q2_Gender_3,Q2_Gender_4,Q4_Employment_1,Q4_Employment_2,Q4_Employment_3,Q4_Employment_4,Q4_Employment_5,Q6_Nationality_1,Q6_Nationality_2,Q6_Nationality_3,Q6_Nationality_4,Q6_Nationality_5,Q6_Nationality_6,Q6_Nationality_7,Q22_PricingModel_1,Q22_PricingModel_2,Q22_PricingModel_3,Q22_PricingModel_4,Q22_PricingModel_5,Q22_PricingModel_6,Q9_ReviewFrequency,Q10_NumCurrencies,Q12_SavingsPct,Q8_MobileBanking,Q8_DedicatedApp,Q11_Investment,Q11_Remittance,Q13_DiffTrackMultiCurrency,Q13_LoseFXMoney,Q13_SavingsHabit,Q13_DissatisifiedTools,Q13_UnexpectedExpenses,Q15_MoneyLost,Q16_AIExpenseCategorisation,Q16_MultiCurrencyTracking,Q16_SavingsGoals,Q16_RemittanceBestRate,Q16_InvestmentTracking,Q18_UAEBankIntegration,Q19_PrivacyConcern,Q23_Incentive,Q26_HelpSaveMoney,Q26_AIBetterInsights,Q26_ComfortableAutocat,Q26_WouldRecommend,Q26_TrustRegulatory,Q27_CurrentSatisfaction,Derived_PainComposite,Derived_TechAffinity,Derived_AdoptionAttitude,Derived_FinancialStress,Eng_PainGap,Eng_DigitalEngagement,Eng_ActivityBreadth,Eng_AdoptionReadiness,Eng_WTPperPain,Flag_ValueSeeker,Flag_MultiCurrencyUser,Q21_WTP_AED,Q24_DownloadLikelihood,Respondent_ID
43,3,3,4,Female,Government,Emirati,MonthlySubscription,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,4,2,0,0,0,1,1,1,3,1,3,3,3,4,4,4,4,5,3,4,3,4,2,5,4,6,2.0,1.0,3.5,3.24,3.0,5.0,5,0.765,40.0,0,1,80,8,R0001
47,3,5,2,Male,Freelancer,Western,Freemium,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,4,1,1,1,1,0,3,3,2,2,4,5,5,3,3,4,5,5,1,5,3,4,5,3,4,3,3.12,5.0,4.0,4.16,5.64,9.0,3,0.735,25.64,0,1,80,7,R0002
39,2,3,4,Male,PrivateSector,SouthAsian,MonthlySubscription,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,4,2,1,0,0,0,0,3,3,1,3,4,5,3,3,5,4,3,5,4,3,4,3,3,4,4,4,2.75,1.0,3.5,3.58,4.7,3.0,2,0.505,10.91,0,0,30,4,R0003
42,2,2,5,Female,PrivateSector,African,Freemium,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,5,3,1,0,0,0,0,4,2,5,3,5,4,3,5,4,5,2,4,1,4,4,4,4,3,4,1,3.75,1.0,3.83,4.28,7.3,3.0,0,0.5931,8.0,1,0,30,5,R0004
34,5,3,4,Female,PrivateSector,ArabExpat,MonthlySubscription,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,3,1,1,1,0,1,2,3,3,3,3,4,4,5,3,3,2,4,2,5,5,3,5,5,3,6,3.0,6.0,4.33,3.9,4.8,8.0,4,0.6931,26.67,0,0,80,6,R0005
28,3,4,2,Female,PrivateSector,SouthAsian,Freemium,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,2,1,0,1,1,1,3,1,4,3,5,4,5,3,5,3,2,5,3,1,4,5,3,4,4,4,2.88,3.0,4.0,3.64,4.96,8.0,4,0.54,17.36,0,0,50,4,R0006
31,3,3,1,Female,Freelancer,ArabExpat,FreeWithAds,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,4,1,1,1,0,1,3,1,4,1,3,3,5,3,3,3,4,4,1,4,5,5,4,4,4,6,2.38,6.0,4.17,3.79,3.56,9.0,4,0.7469,33.61,0,1,80,7,R0007
45,4,3,5,Female,PrivateSector,SouthAsian,MonthlySubscription,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,4,2,1,0,1,1,3,3,3,2,3,5,4,5,4,4,5,4,2,1,4,5,4,4,3,1,2.88,3.0,3.83,3.74,5.56,9.0,4,0.6581,17.36,0,1,50,6,R0008
41,5,5,5,Male,BusinessOwner,ArabExpat,AnnualSubscription,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3,3,1,0,0,1,0,4,4,2,4,5,6,4,3,4,5,3,4,1,5,4,3,4,3,5,1,4.25,0.0,3.83,4.53,8.3,6.0,3,0.4631,0.0,0,0,0,3,R0009
35,2,3,4,Female,Government,SouthAsian,AnnualSubscription,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,2,1,0,0,0,1,3,3,3,2,3,3,4,3,5,5,3,5,2,4,4,5,3,4,3,3,3.0,1.0,4.0,3.7,5.4,3.0,2,0.735,10.0,0,0,30,7,R0010
